,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.graph.MutableGraph,0,0,0,0,0,
com.google.common.collect.CartesianList,7,0,1,1,0,
com.google.common.util.concurrent.ListenableFuture,0,0,0,0,0,
com.google.common.util.concurrent.JdkFutureAdapters,10,2,0,1,0,
com.google.common.collect.ImmutableList,33,1,0,0,0,
com.google.common.escape.Escapers,8,0,0,1,0,
com.google.common.io.Flushables,0,0,0,0,0,
com.google.common.collect.NullnessCasts,0,0,0,0,0,
com.google.common.hash.HashingOutputStream,6,0,0,1,0,
com.google.common.math.PairedStatsAccumulator,49,0,1,2,0,
com.google.common.hash.BloomFilter,28,1,5,2,0,
com.google.common.cache.LongAddable,0,0,0,0,0,
com.google.common.collect.CompactLinkedHashSet,14,1,0,0,0,
com.google.common.hash.Java8Compatibility,0,0,0,0,0,
com.google.common.io.LineProcessor,0,0,0,0,0,
com.google.common.collect.MapMakerInternalMap,49,2,2,3,0,
com.google.common.math.ToDoubleRounder,7,0,0,0,0,
